Date,Time,WBGT,Tg
2025/8/1,1:00,26.2,28.0
2025/8/1,2:00,26.0,27.7
2025/8/1,3:00,25.8,27.4
2025/8/1,4:00,25.6,27.1
2025/8/1,5:00,25.5,26.6
2025/8/1,6:00,25.9,28.6
2025/8/1,7:00,27.5,34.5
2025/8/1,8:00,29.2,43.3
2025/8/1,9:00,29.4,41.4
2025/8/1,10:00,28.4,35.8
2025/8/1,11:00,31.3,47.2
2025/8/1,12:00,30.3,44.0
2025/8/1,13:00,31.7,50.3
2025/8/1,14:00,30.4,46.9
2025/8/1,15:00,30.9,48.2
2025/8/1,16:00,30.0,45.2
2025/8/1,17:00,28.8,41.2
2025/8/1,18:00,26.5,32.4
2025/8/1,19:00,26.0,30.0
2025/8/1,20:00,25.5,28.8
2025/8/1,21:00,25.3,28.1
2025/8/1,22:00,25.2,27.8
2025/8/1,23:00,25.2,27.5
2025/8/1,24:00,25.3,27.1
2025/8/2,1:00,25.0,27.1
2025/8/2,2:00,25.0,26.9
2025/8/2,3:00,24.9,27.0
2025/8/2,4:00,24.6,26.3
2025/8/2,5:00,24.6,26.3
2025/8/2,6:00,24.9,27.6
2025/8/2,7:00,27.5,38.8
2025/8/2,8:00,28.6,42.3
2025/8/2,9:00,27.4,36.5
2025/8/2,10:00,28.1,39.7
2025/8/2,11:00,28.3,41.9
2025/8/2,12:00,29.5,46.4
2025/8/2,13:00,29.9,47.2
2025/8/2,14:00,29.5,46.9
2025/8/2,15:00,29.8,47.7
2025/8/2,16:00,28.7,44.4
2025/8/2,17:00,27.9,41.2
2025/8/2,18:00,25.9,31.9
2025/8/2,19:00,25.3,29.6
2025/8/2,20:00,25.2,28.8
2025/8/2,21:00,25.2,28.3
2025/8/2,22:00,25.1,28.0
2025/8/2,23:00,25.1,27.3
2025/8/2,24:00,25.1,27.2
2025/8/3,1:00,25.1,26.8
2025/8/3,2:00,25.0,26.5
2025/8/3,3:00,24.9,25.8
2025/8/3,4:00,24.7,25.8
2025/8/3,5:00,24.7,25.8
2025/8/3,6:00,25.4,28.6
2025/8/3,7:00,27.7,38.3
2025/8/3,8:00,29.9,45.0
2025/8/3,9:00,29.4,42.4
2025/8/3,10:00,28.3,36.4
2025/8/3,11:00,30.0,42.4
2025/8/3,12:00,30.0,43.5
2025/8/3,13:00,30.1,43.7
2025/8/3,14:00,31.9,52.0
2025/8/3,15:00,31.2,51.3
2025/8/3,16:00,30.5,47.6
2025/8/3,17:00,30.5,46.0
2025/8/3,18:00,28.0,35.9
2025/8/3,19:00,26.9,32.5
2025/8/3,20:00,26.2,30.7
2025/8/3,21:00,25.7,29.6
2025/8/3,22:00,25.3,29.0
2025/8/3,23:00,25.1,28.7
2025/8/3,24:00,25.0,28.1
2025/8/4,1:00,24.8,28.0
2025/8/4,2:00,24.5,27.4
2025/8/4,3:00,24.3,26.6
2025/8/4,4:00,24.1,26.2
2025/8/4,5:00,23.9,25.9
2025/8/4,6:00,24.8,28.4
2025/8/4,7:00,26.3,33.4
2025/8/4,8:00,28.1,40.6
2025/8/4,9:00,28.8,41.5
2025/8/4,10:00,29.7,44.6
2025/8/4,11:00,29.1,44.7
2025/8/4,12:00,29.8,45.5
2025/8/4,13:00,28.7,46.4
2025/8/4,14:00,28.7,46.6
2025/8/4,15:00,28.7,45.3
2025/8/4,16:00,28.4,42.7
2025/8/4,17:00,28.7,41.6
2025/8/4,18:00,26.4,33.4
2025/8/4,19:00,25.7,31.4
2025/8/4,20:00,26.0,30.6
2025/8/4,21:00,26.1,29.6
2025/8/4,22:00,26.4,29.7
2025/8/4,23:00,26.5,29.7
2025/8/4,24:00,26.7,29.6
2025/8/5,1:00,26.6,29.5
2025/8/5,2:00,26.6,29.2
2025/8/5,3:00,26.6,29.3
2025/8/5,4:00,26.5,28.8
2025/8/5,5:00,26.2,28.1
2025/8/5,6:00,26.6,29.6
2025/8/5,7:00,26.9,31.3
2025/8/5,8:00,27.7,34.0
2025/8/5,9:00,29.0,39.3
2025/8/5,10:00,30.2,42.3
2025/8/5,11:00,29.8,41.0
2025/8/5,12:00,29.8,40.2
2025/8/5,13:00,31.7,47.9
2025/8/5,14:00,30.3,44.7
2025/8/5,15:00,29.9,42.8
2025/8/5,16:00,30.5,44.5
2025/8/5,17:00,29.9,39.7
2025/8/5,18:00,28.4,34.2
2025/8/5,19:00,27.9,32.0
2025/8/5,20:00,27.5,31.5
2025/8/5,21:00,27.4,30.3
2025/8/5,22:00,27.2,30.0
2025/8/5,23:00,26.8,29.1
2025/8/5,24:00,26.6,28.3
2025/8/6,1:00,26.7,28.6
2025/8/6,2:00,26.6,28.5
2025/8/6,3:00,26.6,28.3
2025/8/6,4:00,26.6,28.2
2025/8/6,5:00,26.5,27.8
2025/8/6,6:00,26.8,30.1
2025/8/6,7:00,28.5,37.5
2025/8/6,8:00,29.5,41.5
2025/8/6,9:00,30.6,48.0
2025/8/6,10:00,30.9,47.8
2025/8/6,11:00,30.7,46.8
2025/8/6,12:00,30.6,46.9
2025/8/6,13:00,30.3,47.7
2025/8/6,14:00,30.7,47.8
2025/8/6,15:00,29.8,44.3
2025/8/6,16:00,30.6,46.2
2025/8/6,17:00,30.0,43.3
2025/8/6,18:00,28.5,34.7
2025/8/6,19:00,27.8,32.5
